x,y,u,v
0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.225,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.275,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.325,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.42500000000000004,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.47500000000000003,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.525,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.5750000000000001,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.675,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7250000000000001,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.775,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9750000000000001,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.025,0.0,0.0
0.025,0.025,2.2775413484018683e-05,-2.2034044210319924e-05
0.05,0.025,-1.4088791120766598e-05,9.041611175245692e-05
0.07500000000000001,0.025,-0.0002392266468939388,0.0002525353487329632
0.1,0.025,-0.000669074641673597,0.000421082227964732
0.125,0.025,-0.0012897739687859446,0.0005751607379656829
0.15000000000000002,0.025,-0.0020761006960489724,0.0007042991662360995
0.17500000000000002,0.025,-0.002995455968188463,0.0008040825505881353
0.2,0.025,-0.004012534066690975,0.0008734241141965226
0.225,0.025,-0.005091982319225663,0.0009130009774919856
0.25,0.025,-0.006199772550002243,0.0009244398243774712
0.275,0.025,-0.007304002963099041,0.0009098713676506773
0.30000000000000004,0.025,-0.008375350527658972,0.000871678370165326
0.325,0.025,-0.009387305622750836,0.0008123528591438353
0.35000000000000003,0.025,-0.010316278648890918,0.0007344169738469812
0.375,0.025,-0.011141633849030925,0.0006403831434386019
0.4,0.025,-0.011845686958364552,0.0005327400426951772
0.42500000000000004,0.025,-0.012413692229860223,0.0004139559721721217
0.45,0.025,-0.01283383658271527,0.00028649387096649367
0.47500000000000003,0.025,-0.013097252629542661,0.00015283344895818818
0.5,0.025,-0.013198057320233885,1.5496569231902505e-05
0.525,0.025,-0.013133418456586613,-0.0001229276212557769
0.55,0.025,-0.012903647195507652,-0.0002597610602746863
0.5750000000000001,0.025,-0.012512310813648992,-0.0003922216365520759
0.6000000000000001,0.025,-0.011966356466145269,-0.0005174172744202741
